iter	Passed	Remaining
0	78	78332
1	149	74752
2	219	72794
3	288	71950
4	367	73138
5	438	72567
6	519	73684
7	591	73397
8	653	72001
9	722	71500
10	788	70911
11	857	70565
12	928	70528
13	1001	70506
14	1080	70956
15	1150	70786
16	1223	70770
17	1292	70532
18	1363	70407
19	1433	70222
20	1507	70259
21	1577	70134
22	1658	70467
23	1730	70354
24	1802	70315
25	1868	69981
26	1930	69583
27	1998	69393
28	2063	69080
29	2130	68870
30	2201	68799
31	2275	68841
32	2349	68832
33	2418	68719
34	2486	68569
35	2552	68356
36	2618	68148
37	2690	68107
38	2758	67971
39	2835	68041
40	2914	68176
41	2984	68081
42	3049	67869
43	3120	67802
44	3187	67642
45	3255	67520
46	3323	67385
47	3395	67348
48	3466	67275
49	3544	67350
50	3610	67175
51	3678	67059
52	3747	66961
53	3814	66821
54	3883	66733
55	3951	66610
56	4020	66515
57	4090	66437
58	4171	66535
59	4238	66400
60	4307	66303
61	4371	66131
62	4435	65973
63	4502	65846
64	4573	65786
65	4645	65740
66	4723	65780
67	4794	65717
68	4867	65678
69	4940	65633
70	5001	65444
71	5068	65330
72	5136	65231
73	5206	65150
74	5278	65096
75	5356	65124
76	5427	65061
77	5500	65024
78	5567	64904
79	5634	64801
80	5704	64722
81	5768	64582
82	5835	64471
83	5905	64402
84	5986	64444
85	6054	64346
86	6119	64217
87	6185	64099
88	6251	63988
89	6319	63893
90	6382	63754
91	6454	63703
92	6527	63662
93	6601	63628
94	6672	63561
95	6734	63419
96	6803	63331
97	6870	63238
98	6940	63165
99	7008	63080
100	7079	63016
101	7159	63031
102	7232	62988
103	7304	62932
104	7371	62835
105	7435	62714
106	7505	62636
107	7572	62547
108	7640	62459
109	7716	62437
110	7788	62376
111	7858	62307
112	7925	62211
113	7992	62119
114	8059	62025
115	8121	61888
116	8192	61832
117	8267	61799
118	8339	61738
119	8409	61668
120	8476	61580
121	8546	61506
122	8614	61423
123	8682	61334
124	8753	61276
125	8828	61237
126	8908	61238
127	8977	61157
128	9044	61068
129	9114	60995
130	9182	60911
131	9250	60825
132	9320	60759
133	9387	60669
134	9452	60565
135	9531	60555
136	9602	60488
137	9672	60416
138	9736	60312
139	9798	60192
140	9866	60111
141	9922	59952
142	9994	59897
143	10061	59809
144	10144	59816
145	10212	59734
146	10279	59646
147	10347	59568
148	10406	59433
149	10474	59356
150	10541	59267
151	10611	59200
152	10685	59154
153	10763	59127
154	10834	59063
155	10903	58988
156	10969	58900
157	11035	58807
158	11101	58721
159	11173	58659
160	11240	58575
161	11315	58535
162	11385	58466
163	11455	58394
164	11521	58306
165	11586	58209
166	11655	58138
167	11723	58060
168	11797	58010
169	11868	57947
170	11948	57925
171	12020	57865
172	12093	57811
173	12162	57736
174	12234	57675
175	12305	57611
176	12374	57536
177	12446	57476
178	12531	57474
179	12605	57423
180	12674	57351
181	12744	57281
182	12815	57216
183	12886	57150
184	12963	57110
185	13033	57039
186	13115	57022
187	13188	56962
188	13257	56887
189	13325	56807
190	13391	56721
191	13461	56649
192	13525	56556
193	13597	56491
194	13671	56438
195	13741	56367
196	13813	56306
197	13882	56232
198	13949	56149
199	14015	56062
200	14086	55993
201	14158	55931
202	14231	55874
203	14308	55830
204	14383	55778
205	14451	55700
206	14519	55621
207	14590	55556
208	14663	55495
209	14731	55418
210	14786	55291
211	14848	55189
212	14925	55148
213	15000	55096
214	15068	55016
215	15129	54912
216	15196	54832
217	15265	54759
218	15338	54701
219	15411	54639
220	15489	54599
221	15552	54504
222	15624	54441
223	15692	54363
224	15748	54244
225	15807	54138
226	15865	54025
227	15931	53944
228	15996	53858
229	16062	53773
230	16132	53704
231	16215	53678
232	16273	53569
233	16345	53505
234	16417	53443
235	16478	53345
236	16547	53274
237	16600	53148
238	16668	53075
239	16745	53027
240	16816	52961
241	16878	52867
242	16950	52804
243	17021	52739
244	17089	52664
245	17158	52590
246	17232	52533
247	17313	52498
248	17386	52437
249	17459	52379
250	17524	52294
251	17592	52219
252	17659	52141
253	17729	52072
254	17801	52009
255	17871	51937
256	17945	51882
257	18018	51821
258	18091	51759
259	18140	51630
260	18208	51555
261	18275	51478
262	18347	51413
263	18408	51321
264	18480	51256
265	18564	51226
266	18633	51155
267	18701	51080
268	18768	51003
269	18835	50926
270	18880	50789
271	18951	50723
272	19019	50650
273	19088	50576
274	19168	50534
275	19238	50466
276	19307	50395
277	19377	50325
278	19443	50245
279	19510	50170
280	19580	50101
281	19649	50028
282	19723	49970
283	19796	49908
284	19869	49848
285	19935	49769
286	20002	49693
287	20072	49622
288	20141	49552
289	20210	49479
290	20280	49411
291	20350	49342
292	20417	49267
293	20487	49199
294	20548	49108
295	20614	49028
296	20680	48951
297	20748	48877
298	20806	48781
299	20877	48713
300	20954	48661
301	21024	48592
302	21092	48519
303	21157	48439
304	21225	48365
305	21290	48287
306	21359	48214
307	21430	48149
308	21499	48077
309	21575	48022
310	21644	47952
311	21714	47884
312	21783	47811
313	21843	47722
314	21911	47648
315	21976	47569
316	22047	47502
317	22116	47431
318	22186	47363
319	22257	47298
320	22325	47225
321	22392	47149
322	22460	47076
323	22524	46994
324	22594	46927
325	22662	46853
326	22724	46768
327	22803	46719
328	22867	46639
329	22937	46570
330	22996	46479
331	23065	46409
332	23131	46331
333	23201	46264
334	23272	46198
335	23341	46127
336	23425	46085
337	23493	46013
338	23563	45945
339	23625	45861
340	23687	45778
341	23757	45708
342	23827	45639
343	23896	45570
344	23967	45503
345	24042	45445
346	24110	45371
347	24179	45302
348	24246	45228
349	24312	45152
350	24381	45081
351	24452	45015
352	24521	44944
353	24604	44899
354	24671	44826
355	24744	44762
356	24811	44688
357	24879	44615
